Sample #	Timepoint	Tissue	Animal #	Ct_genomic	copies_genomic	TCID50 eq/1ML	log10TCID50eq/mL	Ct_subgenomic	copies_subgenomic	TCID50 eq/1ML.1	log10TCID50eq/mL.1	log10_copies_subgenomic	hamster_id	animal_name	sex	sacrifice_day	variant	cage_id	log10_tcid50	n_positive_wells	starting_row_dilution
17	1	oral swab	CoV1292	19.910362243652344	277948.5625	59560406.25	7.774957651328822	25.286027908325195	25027.888671875	5363119.001116072	6.729417433538617	4.398424214497193	1292	CoV1292	F	D14	Delta	7	2.0	6	0
37	2	oral swab	CoV1292	21.88682746887207	70013.328125	15002856.026785715	7.176173941629356	26.232534408569336	13168.3505859375	2821789.4112723214	6.450524599448445	4.119531380407021	1292	CoV1292	F	D14	Delta	7	2.25	7	0
57	3	oral swab	CoV1292	21.5804500579834	86696.15625	18577747.767857146	7.268993062118331	26.00957679748535	15318.8779296875	3282616.69921875	6.51622017449521	4.1852269554537855	1292	CoV1292	F	D14	Delta	7	2.75	5	-1
77	4	oral swab	CoV1292	24.042760848999023	15560.5849609375	3334411.063058036	6.5230191382074425	27.687969207763672	4905.46630859375	1051171.351841518	6.02167351630752	3.6906802972660953	1292	CoV1292	F	D14	Delta	7	0.5	0	0
97	5	oral swab	CoV1292	21.242238998413086	28742.509765625	6159109.235491072	6.789517906631301	25.18236541748047	7408.53076171875	1587542.3060825893	6.200725307540961	3.8697320884995356	1292	CoV1292	F	D14	Delta	7	0.5	0	0
109	7	oral swab	CoV1292	19.07122802734375	137534.09375	29471591.517857146	7.469403589150238	23.963857650756836	18179.40625	3895587.0535714286	6.59057291384819	4.2595796948067655	1292	CoV1292	F	D14	Delta	7	0.5	0	0
18	1	oral swab	CoV1293	19.489212036132812	372867.6875	79900218.75	7.9025479683226	24.71341323852539	36910.33203125	7909356.863839286	6.898141171001945	4.5671479519605205	1293	CoV1293	F	D5	Delta	7	1.25	3	0
38	2	oral swab	CoV1293	19.537355422973633	360553.21875	77261404.01785715	7.887962596012626	23.493534088134766	84448.3984375	18096085.379464287	7.257584636638781	4.926591417597357	1293	CoV1293	F	D5	Delta	7	0.5	0	0
58	3	oral swab	CoV1293	23.03624725341797	31401.9140625	6728981.584821429	6.827949339772183	27.019983291625977	7718.015625	1653860.4910714286	6.21849887249997	3.8875056534585455	1293	CoV1293	F	D5	Delta	7	1.75	5	0
78	4	oral swab	CoV1293	22.630714416503906	41669.19140625	8929112.44419643	6.950808292063835	26.78582763671875	9046.9208984375	1938625.906808036	6.287494012130058	3.9565007930886344	1293	CoV1293	F	D5	Delta	7	0.75	1	0
98	5	oral swab	CoV1293	20.25105094909668	58739.54296875	12587044.921875	7.099923782152242	24.909135818481445	9060.4287109375	1941520.438058036	6.288141966650857	3.9571487476094322	1293	CoV1293	F	D5	Delta	7	0.5	0	0
110	7	oral swab	CoV1293	25.73377799987793	1127.01513671875	241503.2435825893	5.382922968050513	30.648681640625	132.08291625976562	28303.482055664062	4.451839868193362	2.1208466491519373	1293	CoV1293	F	D5	Delta	7	0.5	0	0
19	1	oral swab	CoV1294	19.35881233215332	408376.03125	87509149.55357143	7.94205346322677	24.7742862701416	35416.97265625	7589351.283482144	6.880204655204492	4.549211436163068	1294	CoV1294	F	D5	Delta	8	1.75	5	0
39	2	oral swab	CoV1294	22.828025817871094	36311.0	7780928.571428572	6.891031428529961	26.721786499023438	9448.6728515625	2024715.6110491073	6.306364031389894	3.975370812348469	1294	CoV1294	F	D5	Delta	8	1.0	2	0
59	3	oral swab	CoV1294	23.989906311035156	16145.01953125	3459647.0424107146	6.539031793777632	28.22172737121582	3415.11865234375	731811.1397879465	5.864399016125735	3.5334057970843102	1294	CoV1294	F	D5	Delta	8	1.25	3	0
79	4	oral swab	CoV1294	22.819591522216797	36525.2734375	7826844.308035715	6.893586694899036	27.168731689453125	6977.1201171875	1495097.16796875	6.174669418841933	3.843676199800509	1294	CoV1294	F	D5	Delta	8	1.25	3	0
99	5	oral swab	CoV1294	23.135950088500977	7336.3447265625	1572073.8699776786	6.196472949190628	27.441972732543945	1402.1566162109375	300462.1320452009	5.477789744624546	3.1467965255831203	1294	CoV1294	F	D5	Delta	8	0.75	1	0
20	1	oral swab	CoV1295	19.703933715820312	320998.75	68785446.42857143	7.837496560265115	25.297163009643555	24839.51953125	5322754.185267857	6.72613641010535	4.395143191063925	1295	CoV1295	F	D5	Delta	8	1.75	5	0
40	2	oral swab	CoV1295	19.906360626220703	278725.53125	59726899.55357143	7.776169970937871	24.113391876220703	55455.83203125	11883392.578125	7.074940444653801	4.743947225612375	1295	CoV1295	F	D5	Delta	8	0.75	1	0
60	3	oral swab	CoV1295	22.608083724975586	42332.234375	9071193.080357144	6.957664411000514	26.756607055664062	9228.0673828125	1977443.0106026786	6.296103976095162	3.965110757053737	1295	CoV1295	F	D5	Delta	8	2.0	6	0
80	4	oral swab	CoV1295	23.05574607849121	30977.673828125	6638072.963169644	6.822042021698348	27.339794158935547	6212.5771484375	1331266.5318080357	6.124265013930927	3.793271794889502	1295	CoV1295	F	D5	Delta	8	0.5	0	0
100	5	oral swab	CoV1295	22.284534454345703	13555.443359375	2904737.8627232146	6.463106945707555	26.391708374023438	3039.601318359375	651343.1396484375	5.813809843245197	3.4828166242037724	1295	CoV1295	F	D5	Delta	8	0.5	0	0
